Reg. č.,Program zkratka,Obor zkr. zkratka,Typ studia,Forma,Datum přijetí př.,Školné zapl.,Potvrzení zájmu,KA - obec,KA - stát,Rozh. o přijetí - kód,Rozh. o přijetí - název,Datum zápisu,Studium,ID přihlášky,Program název,Pohlaví
29940,B-BEDS,,Bakalářský,prezenční,27. 02. 2022,,ne,Zlatníky-Hodkovice (Zlatníky),Česká republika,20,20 - Nepřijat -- PZ,,ne,230622,Environmental Data Science,muž
10494,B-BEE,,Bakalářský,prezenční,10. 03. 2022,,ne,Monrovia,Kanada,20,20 - Nepřijat -- PZ,,ne,230623,Environmental Engineering,muž
12374,B-BEE,,Bakalářský,prezenční,21. 02. 2022,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,230624,Environmental Engineering,žena
76064,B-BEDS,,Bakalářský,prezenční,29. 03. 2022,0,ne,Praha (Sedlec),Česká republika,10,10 - Přijat,,ne,236344,Environmental Data Science,muž
84512,B-BEE,,Bakalářský,prezenční,17. 04. 2022,,ne,Brno,Česká republika,20,20 - Nepřijat -- PZ,,ne,237294,Environmental Engineering,žena
54740,N-ENVA,,Magisterský navazující,prezenční,07. 12. 2021,0,ano,Alimosho,Nigérijská federativní republika,10,10 - Přijat,,ne,211477,Environmental Modelling,muž
30189,N-ENVA,,Magisterský navazující,prezenční,27. 02. 2022,,ne,New Owerri,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,236309,Environmental Modelling,muž
58701,B-BEDS,,Bakalářský,prezenční,17. 01. 2022,,ne,Enugu south,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,213457,Environmental Data Science,muž
83319,B-BEDS,,Bakalářský,prezenční,06. 04. 2022,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,237072,Environmental Data Science,muž
82756,N-NCO,,Magisterský navazující,prezenční,01. 04. 2022,,ne,Arondizuogu,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,236915,Nature Conservation,žena
52868,B-BEE,,Bakalářský,prezenční,24. 10. 2021,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,210763,Environmental Engineering,muž
74652,B-BEDS,,Bakalářský,prezenční,28. 03. 2022,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,237315,Environmental Data Science,muž
68488,B-BEDS,,Bakalářský,prezenční,23. 03. 2022,,ne,Brahmanbaria,Bangladéšská lidová republika,20,20 - Nepřijat -- PZ,,ne,237316,Environmental Data Science,muž
84521,B-BEDS,,Bakalářský,prezenční,17. 04. 2022,,ne,Dhaka,Bangladéšská lidová republika,20,20 - Nepřijat -- PZ,,ne,237317,Environmental Data Science,muž
52797,N-EGS,,Magisterský navazující,prezenční,21. 10. 2021,,ne,"INEZGANE,Morocco",Marocké království,20,20 - Nepřijat -- PZ,,ne,213839,Environmental Geosciences,muž
57858,B-BEE,,Bakalářský,prezenční,11. 01. 2022,,ne,Al Nahda,Egyptská arabská republika,20,20 - Nepřijat -- PZ,,ne,213150,Environmental Engineering,muž
56950,N-ENVA,,Magisterský navazující,prezenční,06. 01. 2022,,ne,Qamishli,Syrská arabská republika,20,20 - Nepřijat -- PZ,,ne,212534,Environmental Modelling,muž
59211,B-BEE,,Bakalářský,prezenční,20. 01. 2022,,ne,Abeokuta,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,213458,Environmental Engineering,žena
54235,N-ENVA,,Magisterský navazující,prezenční,29. 11. 2021,,ne,Port Harcourt,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,211863,Environmental Modelling,muž
16275,N-ENVA,,Magisterský navazující,prezenční,22. 02. 2022,,ne,Port Harcourt,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,231752,Environmental Modelling,muž
58623,B-BEE,,Bakalářský,prezenční,17. 01. 2022,,ne,Kohtla-Järve,Estonská republika,20,20 - Nepřijat -- PZ,,ne,213459,Environmental Engineering,žena
56070,N-EGS,,Magisterský navazující,prezenční,28. 12. 2021,,ne,Lagos,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,213422,Environmental Geosciences,muž
68145,B-BEDS,,Bakalářský,prezenční,22. 03. 2022,,ne,benin,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,230625,Environmental Data Science,žena
71937,B-BEE,,Bakalářský,prezenční,26. 03. 2022,,ne,Portland,Spojené státy americké,20,20 - Nepřijat -- PZ,,ne,236345,Environmental Engineering,muž
12471,N-ENVA,,Magisterský navazující,prezenční,21. 02. 2022,,ne,Abadan,Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,237214,Environmental Modelling,muž
53115,N-LPA,,Magisterský navazující,prezenční,09. 11. 2021,16500,ano,Ain Baida,Alžírská lidová demokratická republika,10,10 - Přijat,17.10.2022,ano,213955,Landscape Planning,muž
58023,B-BEDS,,Bakalářský,prezenční,13. 01. 2022,,ne,Esenyalı Mh.,Turecká republika,20,20 - Nepřijat -- PZ,,ne,213898,Environmental Data Science,muž
84479,B-BEDS,,Bakalářský,prezenční,16. 04. 2022,,ne,Esenyalı Mh.,Turecká republika,20,20 - Nepřijat -- PZ,,ne,237318,Environmental Data Science,muž
72423,B-BEDS,,Bakalářský,prezenční,26. 03. 2022,,ne,Nur-sultan,Republika Kazachstán,20,20 - Nepřijat -- PZ,,ne,237073,Environmental Data Science,muž
83476,B-BEDS,,Bakalářský,prezenční,07. 04. 2022,0,ne,Plzeň (Litice),Česká republika,10,10 - Přijat,,ne,237319,Environmental Data Science,žena
55447,N-LPA,,Magisterský navazující,prezenční,17. 12. 2021,,ne,"Fareed Town, Race Course Road",Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,213863,Landscape Planning,muž
10303,B-BEE,,Bakalářský,prezenční,09. 03. 2022,0,ne,"Fort Collins, Colorado",Spojené státy americké,10,10 - Přijat,,ne,230626,Environmental Engineering,muž
52749,N-NCO,,Magisterský navazující,prezenční,16. 10. 2021,,ne,Ijako,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,211624,Nature Conservation,muž
82843,N-LPA,,Magisterský navazující,prezenční,02. 04. 2022,,ne,Shiraz,Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,236353,Landscape Planning,muž
74117,B-BEDS,,Bakalářský,prezenční,28. 03. 2022,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,237320,Environmental Data Science,muž
59339,B-BEE,,Bakalářský,prezenční,21. 01. 2022,0,ano,Tbilisi,Gruzie,10,10 - Přijat,,ne,213899,Environmental Engineering,muž
59405,B-BEE,,Bakalářský,prezenční,21. 01. 2022,0,ano,Tbilisi,Gruzie,10,10 - Přijat,,ne,213900,Environmental Engineering,muž
80291,N-NCO,,Magisterský navazující,prezenční,31. 03. 2022,,ne,OSLO,Norské království,20,20 - Nepřijat -- PZ,,ne,236394,Nature Conservation,muž
38762,N-EGS,,Magisterský navazující,prezenční,01. 03. 2022,,ne,Swabi,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,237305,Environmental Geosciences,muž
59416,N-LPA,,Magisterský navazující,prezenční,22. 01. 2022,,ne,swabi,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,213864,Landscape Planning,muž
