Spec. symbol,Program zkratka,Obor zkratka,Typ studia,Forma,Datum a čas zal. přihl.,Datum podání,Spr. poplatek - vypočteno,Spr. poplatek - zaplaceno,Zaplaceno,Datum úhrady,Dadtum zkompl. Zaplaceno,Datum zkompl. Adresy,Kompl. adresy,Datum zkompl. Os. údaje,Kompl. přihlášky,Datum zkompl. celé přihl.,Kompl. údajů přihl.,Datum zkompl. Údaje o přihl.,KA - obec,KA - stát
54707,B-BEE,,Bakalářský,prezenční,06. 12. 2021 15:28,,750,0,ne,,,06. 07. 2021 16:33:05,ano,06. 12. 2021 15:28:32,ne,,ano,06. 12. 2021 15:28:33,Lagos,Nigérijská federativní republika
52722,B-BEE,,Bakalářský,prezenční,14. 10. 2021 18:41,,750,0,ne,,,,ne,,ne,,ano,14. 10. 2021 18:46:32,,
52476,B-BEDS,,Bakalářský,prezenční,01. 10. 2021 12:08,,750,0,ne,,,26. 05. 2021 21:13:50,ano,01. 10. 2021 17:30:35,ne,,ano,01. 10. 2021 12:08:39,Rome,Italská republika
53992,B-BEDS,,Bakalářský,prezenční,25. 11. 2021 16:01,,750,0,ne,,,25. 11. 2021 15:57:42,ano,25. 11. 2021 16:01:31,ne,,ano,25. 11. 2021 16:01:31,Murcia,Ostatní
54829,N-NCO,,Magisterský navazující,prezenční,08. 12. 2021 11:16,,750,0,ne,,,08. 12. 2021 11:45:01,ano,08. 12. 2021 11:42:12,ne,,ano,08. 12. 2021 11:24:03,Ife,Ostatní
52942,N-NCO,,Magisterský navazující,prezenční,31. 10. 2021 11:37,31.10.2021,750,0,ne,,,31. 10. 2021 11:55:30,ano,31. 10. 2021 11:50:36,ne,,ano,31. 10. 2021 11:38:34,Ibadan,Nigérijská federativní republika
54796,B-BEDS,,Bakalářský,prezenční,07. 12. 2021 19:08,,750,0,ne,,,,ne,,ne,,ano,07. 12. 2021 19:11:34,,
53339,N-NCO,,Magisterský navazující,prezenční,15. 11. 2021 00:37,,750,0,ne,,,,ne,,ne,,ne,,,
53594,N-EGS,,Magisterský navazující,prezenční,19. 11. 2021 13:30,21.11.2021,750,750,ano,14.12.2021,14. 12. 2021 06:02:35,21. 11. 2021 12:42:00,ano,21. 11. 2021 12:35:27,ano,14. 12. 2021 06:02:35,ano,19. 11. 2021 13:33:15,Ikorodu,Nigérijská federativní republika
53865,N-NCO,,Magisterský navazující,prezenční,23. 11. 2021 11:22,,750,0,ne,,,,ne,,ne,,ano,23. 11. 2021 11:26:04,,
52988,B-BEDS,,Bakalářský,prezenční,02. 11. 2021 15:09,,750,0,ne,,,,ne,,ne,,ano,02. 11. 2021 16:06:33,,
52562,N-ENVA,,Magisterský navazující,prezenční,05. 10. 2021 10:46,05.10.2021,750,750,ano,12.10.2021,12. 10. 2021 15:01:01,05. 10. 2021 10:46:16,ano,05. 10. 2021 10:53:35,ano,12. 10. 2021 15:01:01,ano,05. 10. 2021 10:46:16,Praha (Břevnov),Česká republika
55403,N-ENVA,,Magisterský navazující,prezenční,16. 12. 2021 18:21,20.12.2021,750,750,ano,23.12.2021,23. 12. 2021 11:53:35,16. 12. 2021 18:29:21,ano,16. 12. 2021 18:26:32,ano,23. 12. 2021 11:53:35,ano,16. 12. 2021 18:21:58,Kasur,Pákistánská islámská republika
55821,N-LPA,,Magisterský navazující,prezenční,23. 12. 2021 12:04,23.12.2021,750,750,ano,23.12.2021,23. 12. 2021 12:20:41,16. 12. 2021 18:29:21,ano,23. 12. 2021 12:04:58,ano,23. 12. 2021 12:20:42,ano,23. 12. 2021 12:04:58,Kasur,Pákistánská islámská republika
52518,N-NCO,,Magisterský navazující,prezenční,03. 10. 2021 09:09,,750,0,ne,,,03. 10. 2021 09:09:10,ano,,ne,,ano,03. 10. 2021 09:09:11,Kitchener,Kanada
53126,N-LPA,,Magisterský navazující,prezenční,09. 11. 2021 19:55,09.11.2021,750,750,ano,09.11.2021,09. 11. 2021 20:35:54,09. 11. 2021 20:16:57,ano,09. 11. 2021 20:05:40,ano,09. 11. 2021 20:35:54,ano,09. 11. 2021 19:59:09,Ejisu - Ashanti Region,Ghanská republika
53203,N-NCO,,Magisterský navazující,prezenční,12. 11. 2021 12:11,29.11.2021,750,0,ne,,,12. 11. 2021 14:05:03,ano,29. 11. 2021 22:01:40,ne,,ano,12. 11. 2021 12:11:04,St. Augustine`s SHS Nsapor,Ghanská republika
52585,N-LPA,,Magisterský navazující,prezenční,06. 10. 2021 13:54,,750,0,ne,,,06. 10. 2021 13:54:22,ano,,ne,,ano,06. 10. 2021 13:54:22,Moscow,Ruská federace
55849,B-BEDS,,Bakalářský,prezenční,24. 12. 2021 00:01,02.01.2022,750,750,ano,02.01.2022,02. 01. 2022 14:38:47,24. 12. 2021 00:01:20,ano,02. 01. 2022 14:35:47,ano,02. 01. 2022 14:38:47,ano,24. 12. 2021 00:01:20,Praha,Česká republika
52559,N-ENVA,,Magisterský navazující,prezenční,04. 10. 2021 23:18,,750,0,ne,,,04. 10. 2021 23:32:30,ano,04. 10. 2021 23:24:27,ne,,ano,04. 10. 2021 23:19:22,Malang City,Indonéská republika
52927,N-ENVA,,Magisterský navazující,prezenční,29. 10. 2021 15:12,,750,0,ne,,,29. 10. 2021 15:25:17,ano,29. 10. 2021 15:24:01,ne,,ano,29. 10. 2021 15:19:21,Meftah,Alžírská lidová demokratická republika
52888,N-EGS,,Magisterský navazující,prezenční,26. 10. 2021 23:49,,750,0,ne,,,,ne,27. 10. 2021 00:14:06,ne,,ano,26. 10. 2021 23:54:45,,
54597,B-BEE,,Bakalářský,prezenční,04. 12. 2021 17:38,04.12.2021,750,750,ano,04.12.2021,04. 12. 2021 18:08:55,04. 12. 2021 18:03:55,ano,04. 12. 2021 18:01:00,ano,04. 12. 2021 18:08:55,ano,04. 12. 2021 17:41:05,Skopje,Republika Severní Makedonie
54700,N-NCO,,Magisterský navazující,prezenční,06. 12. 2021 14:09,06.12.2021,750,750,ano,08.12.2021,08. 12. 2021 11:52:31,06. 12. 2021 15:01:06,ano,06. 12. 2021 14:51:54,ano,08. 12. 2021 11:52:31,ano,06. 12. 2021 14:17:06,Shanghai,Čínská lidová republika
52578,N-NCO,,Magisterský navazující,prezenční,05. 10. 2021 23:40,05.10.2021,750,0,ne,,,05. 10. 2021 23:53:32,ano,05. 10. 2021 23:52:27,ne,,ano,05. 10. 2021 23:41:28,"Guatemala, Guatemala",Guatemalská republika
52948,N-ENVA,,Magisterský navazující,prezenční,01. 11. 2021 08:48,01.11.2021,750,0,ne,,,01. 11. 2021 08:53:41,ano,01. 11. 2021 08:52:05,ne,,ano,01. 11. 2021 08:49:26,"Athens, Greece",Řecká republika
54928,B-BEE,,Bakalářský,prezenční,09. 12. 2021 21:57,,750,0,ne,,,09. 12. 2021 22:38:06,ano,09. 12. 2021 22:32:20,ne,,ano,09. 12. 2021 22:00:09,Tehran,Íránská islámská republika
56198,B-BEDS,,Bakalářský,prezenční,30. 12. 2021 14:53,,750,0,ne,,,09. 12. 2021 22:38:06,ano,30. 12. 2021 14:53:01,ne,,ano,30. 12. 2021 14:53:01,Tehran,Íránská islámská republika
52751,N-EGS,,Magisterský navazující,prezenční,16. 10. 2021 20:58,20.10.2021,750,0,ne,,,20. 10. 2021 23:57:17,ano,20. 10. 2021 16:18:19,ne,,ano,20. 10. 2021 16:13:50,P.O.BOX AT84,Ghanská republika
55789,N-ENVA,,Magisterský navazující,prezenční,22. 12. 2021 19:30,,750,0,ne,,,,ne,,ne,,ne,,,
54808,B-BEE,,Bakalářský,prezenční,07. 12. 2021 22:39,20.12.2021,750,750,ano,20.12.2021,20. 12. 2021 16:22:10,07. 12. 2021 23:06:49,ano,07. 12. 2021 23:03:39,ano,20. 12. 2021 16:22:10,ano,07. 12. 2021 22:47:26,Grabels,Francouzská jižní území
55393,N-EGS,,Magisterský navazující,prezenční,16. 12. 2021 16:59,16.12.2021,750,750,ano,16.12.2021,16. 12. 2021 17:54:09,16. 12. 2021 17:31:58,ano,16. 12. 2021 17:19:55,ano,16. 12. 2021 17:54:10,ano,16. 12. 2021 16:59:46,Mogoditshane,Botswanská republika
52659,B-BEE,,Bakalářský,prezenční,10. 10. 2021 16:12,,750,0,ne,,,,ne,10. 10. 2021 16:30:46,ne,,ano,10. 10. 2021 16:14:13,,
52816,N-EGS,,Magisterský navazující,prezenční,22. 10. 2021 01:40,,750,0,ne,,,,ne,,ne,,ne,,,
55146,B-BEE,,Bakalářský,prezenční,13. 12. 2021 10:18,14.12.2021,750,0,ne,,,13. 12. 2021 10:40:20,ano,13. 12. 2021 10:35:08,ne,,ano,13. 12. 2021 10:18:48,Addis Ababa,Etiopská federativní demokratická republika
53056,N-EGS,,Magisterský navazující,prezenční,05. 11. 2021 17:50,16.12.2021,750,750,ano,16.12.2021,16. 12. 2021 23:04:11,05. 11. 2021 18:14:40,ano,05. 11. 2021 18:04:37,ano,16. 12. 2021 23:04:11,ano,05. 11. 2021 17:52:44,Techiman,Ghanská republika
52832,N-EGS,,Magisterský navazující,prezenční,22. 10. 2021 19:08,23.10.2021,750,0,ne,,,16. 02. 2021 20:00:44,ano,22. 10. 2021 19:08:23,ne,,ano,22. 10. 2021 19:08:23,Techiman,Ghanská republika
52834,N-NCO,,Magisterský navazující,prezenční,22. 10. 2021 19:27,23.10.2021,750,0,ne,,,16. 02. 2021 20:00:44,ano,22. 10. 2021 19:27:58,ne,,ano,22. 10. 2021 19:27:58,Techiman,Ghanská republika
52989,B-BEDS,,Bakalářský,prezenční,02. 11. 2021 15:11,,750,0,ne,,,02. 11. 2021 15:11:47,ano,02. 11. 2021 15:16:56,ne,,ano,02. 11. 2021 15:11:47,STRAZEELE,Francouzská republika
52999,N-LPA,,Magisterský navazující,prezenční,03. 11. 2021 05:44,03.11.2021,750,750,ano,23.11.2021,23. 11. 2021 08:21:19,03. 11. 2021 05:58:25,ano,03. 11. 2021 05:55:43,ano,23. 11. 2021 08:21:20,ano,03. 11. 2021 05:48:48,Chennai,Indická republika
54793,B-BEDS,,Bakalářský,prezenční,07. 12. 2021 18:43,,750,0,ne,,,07. 12. 2021 19:00:51,ano,07. 12. 2021 18:53:01,ne,,ano,07. 12. 2021 18:45:44,Tamale,Ghanská republika
53406,B-BEE,,Bakalářský,prezenční,16. 11. 2021 07:52,,750,0,ne,,,,ne,,ne,,ano,16. 11. 2021 07:55:12,,
53255,N-EGS,,Magisterský navazující,prezenční,13. 11. 2021 11:12,,750,0,ne,,,,ne,,ne,,ne,,,
52896,N-EGS,,Magisterský navazující,prezenční,27. 10. 2021 14:09,,750,0,ne,,,,ne,,ne,,ano,27. 10. 2021 14:09:07,,
52478,N-EGS,,Magisterský navazující,prezenční,01. 10. 2021 13:39,02.10.2021,750,500,ano,03.10.2021,03. 10. 2021 21:05:47,01. 10. 2021 15:55:49,ano,01. 10. 2021 15:05:02,ano,03. 10. 2021 21:05:48,ano,01. 10. 2021 14:22:17,Benin City,Nigérijská federativní republika
52628,N-LPA,,Magisterský navazující,prezenční,08. 10. 2021 20:37,,750,0,ne,,,11. 10. 2021 14:53:44,ano,09. 10. 2021 19:39:31,ne,,ano,08. 10. 2021 20:39:13,Sowutuom,Ghanská republika
56588,N-LPA,,Magisterský navazující,prezenční,04. 01. 2022 05:25,,750,0,ne,,,,ne,,ne,,ano,04. 01. 2022 05:28:17,,
55519,N-EGS,,Magisterský navazující,prezenční,18. 12. 2021 20:31,21.12.2021,750,750,ano,21.12.2021,21. 12. 2021 13:41:56,20. 12. 2021 09:39:27,ano,20. 12. 2021 09:35:49,ano,21. 12. 2021 13:41:56,ano,18. 12. 2021 20:32:43,"lkotun, Lagos state",Nigérijská federativní republika
52844,B-BEE,,Bakalářský,prezenční,22. 10. 2021 23:16,,750,0,ne,,,,ne,,ne,,ne,,,
52731,B-BEE,,Bakalářský,prezenční,15. 10. 2021 10:04,,750,0,ne,,,,ne,,ne,,ano,17. 10. 2021 21:21:06,,
54183,B-BEE,,Bakalářský,prezenční,29. 11. 2021 06:28,,750,0,ne,,,29. 11. 2021 06:27:03,ano,,ne,,ano,29. 11. 2021 06:28:45,Lagos,Nigérijská federativní republika
54185,B-BEDS,,Bakalářský,prezenční,29. 11. 2021 06:29,,750,0,ne,,,29. 11. 2021 06:27:03,ano,,ne,,ano,29. 11. 2021 06:29:17,Lagos,Nigérijská federativní republika
54177,B-BEE,,Bakalářský,prezenční,28. 11. 2021 22:56,29.11.2021,750,0,ne,,,29. 11. 2021 00:19:25,ano,29. 11. 2021 00:16:42,ne,,ano,28. 11. 2021 23:01:01,Lagos mainland,Nigérijská federativní republika
54506,B-BEDS,,Bakalářský,prezenční,03. 12. 2021 12:29,,750,0,ne,,,24. 02. 2021 12:46:30,ano,03. 12. 2021 12:29:08,ne,,ano,03. 12. 2021 12:29:09,Al Rawdah Al Sharqiyah,Spojené arabské emiráty
55875,B-BEE,,Bakalářský,prezenční,24. 12. 2021 16:05,,750,0,ne,,,,ne,,ne,,ano,24. 12. 2021 16:08:12,,
52733,B-BEDS,,Bakalářský,prezenční,15. 10. 2021 12:15,,750,0,ne,,,,ne,,ne,,ano,15. 10. 2021 12:16:31,,
55653,N-EGS,,Magisterský navazující,prezenční,20. 12. 2021 18:40,21.12.2021,750,750,ano,21.12.2021,21. 12. 2021 00:36:32,20. 12. 2021 20:33:20,ano,20. 12. 2021 18:52:22,ano,21. 12. 2021 00:36:32,ano,20. 12. 2021 18:42:19,"Isolo, Lagos State",Nigérijská federativní republika
55679,N-ENVA,,Magisterský navazující,prezenční,21. 12. 2021 00:46,,750,0,ne,,,20. 12. 2021 20:33:20,ano,21. 12. 2021 00:46:51,ne,,ano,21. 12. 2021 00:46:52,"Isolo, Lagos State",Nigérijská federativní republika
54035,B-BEE,,Bakalářský,prezenční,26. 11. 2021 10:02,26.11.2021,750,0,ne,,,13. 11. 2021 00:41:22,ano,26. 11. 2021 10:02:30,ne,,ano,26. 11. 2021 10:02:30,Aba,Nigérijská federativní republika
55764,N-ENVA,,Magisterský navazující,prezenční,22. 12. 2021 12:28,,750,0,ne,,,22. 12. 2021 12:44:55,ano,22. 12. 2021 12:42:45,ne,,ano,22. 12. 2021 12:34:38,"Mahabubnagar, Telangana, India.",Indická republika
53024,N-NCO,,Magisterský navazující,prezenční,04. 11. 2021 10:26,04.11.2021,750,750,ano,07.12.2021,07. 12. 2021 10:43:40,04. 11. 2021 10:35:45,ano,04. 11. 2021 10:34:05,ano,07. 12. 2021 10:43:41,ano,04. 11. 2021 10:27:32,Palencia,Španělské království
53058,N-ENVA,,Magisterský navazující,prezenční,05. 11. 2021 20:41,,750,0,ne,,,20. 03. 2020 10:16:58,ano,,ne,,ano,05. 11. 2021 20:41:09,roma,Italská republika
53426,B-BEE,,Bakalářský,prezenční,16. 11. 2021 15:30,,750,0,ne,,,,ne,,ne,,ne,,,
53725,N-LPA,,Magisterský navazující,prezenční,21. 11. 2021 15:09,03.12.2021,750,0,ne,,,03. 12. 2021 21:59:20,ano,21. 11. 2021 15:15:29,ne,,ano,21. 11. 2021 15:11:10,Warri,Nigérijská federativní republika
52568,B-BEDS,,Bakalářský,prezenční,05. 10. 2021 13:29,05.10.2021,750,750,ano,06.10.2021,06. 10. 2021 01:40:42,13. 10. 2020 15:03:28,ano,05. 10. 2021 13:29:13,ano,06. 10. 2021 01:40:43,ano,05. 10. 2021 13:29:14,Abeokuta,Nigérijská federativní republika
52618,N-NCO,,Magisterský navazující,prezenční,07. 10. 2021 23:56,08.10.2021,750,750,ano,10.11.2021,10. 11. 2021 11:34:44,08. 10. 2021 00:25:12,ano,08. 10. 2021 00:22:11,ano,10. 11. 2021 11:34:44,ano,07. 10. 2021 23:58:32,Ilesa,Nigérijská federativní republika
56109,N-EGS,,Magisterský navazující,prezenční,29. 12. 2021 12:46,02.01.2022,750,0,ne,,,29. 12. 2021 13:35:00,ano,29. 12. 2021 13:20:52,ne,,ano,29. 12. 2021 12:52:41,Festac town,Nigérijská federativní republika
52619,N-NCO,,Magisterský navazující,prezenční,08. 10. 2021 01:29,08.10.2021,750,750,ano,08.10.2021,08. 10. 2021 01:53:03,08. 10. 2021 01:48:12,ano,08. 10. 2021 01:46:00,ano,08. 10. 2021 01:53:03,ano,08. 10. 2021 01:34:04,"Guatemala City, zone 5",Guatemalská republika
53403,N-NCO,,Magisterský navazující,prezenční,16. 11. 2021 03:35,,750,0,ne,,,,ne,,ne,,ne,,,
52488,B-BEDS,,Bakalářský,prezenční,01. 10. 2021 17:38,02.12.2021,750,750,ano,06.12.2021,06. 12. 2021 18:14:01,02. 10. 2021 01:46:48,ano,08. 11. 2021 20:20:17,ano,06. 12. 2021 18:14:01,ano,01. 10. 2021 17:40:42,Mexico,Spojené státy mexické
52536,N-NCO,,Magisterský navazující,prezenční,03. 10. 2021 23:47,04.10.2021,750,750,ano,14.10.2021,14. 10. 2021 10:41:56,04. 10. 2021 10:33:29,ano,04. 10. 2021 00:00:10,ano,14. 10. 2021 10:41:57,ano,03. 10. 2021 23:49:51,Dansoman,Ghanská republika
52640,N-EGS,,Magisterský navazující,prezenční,09. 10. 2021 14:56,,750,0,ne,,,,ne,,ne,,ano,09. 10. 2021 15:00:04,,
54573,N-EGS,,Magisterský navazující,prezenční,04. 12. 2021 12:57,10.12.2021,750,0,ne,,,10. 12. 2021 08:13:17,ano,10. 12. 2021 08:09:18,ne,,ano,10. 12. 2021 08:01:10,Ras Sadr,Egyptská arabská republika
54938,B-BEE,,Bakalářský,prezenční,10. 12. 2021 08:28,10.12.2021,750,0,ne,,,10. 12. 2021 08:13:17,ano,10. 12. 2021 08:38:40,ne,,ano,10. 12. 2021 08:28:58,Ras Sadr,Egyptská arabská republika
55465,B-BEDS,,Bakalářský,prezenční,17. 12. 2021 17:57,17.12.2021,750,0,ne,,,17. 12. 2021 18:06:11,ano,17. 12. 2021 18:04:45,ne,,ano,17. 12. 2021 17:59:17,Skopje,Republika Severní Makedonie
55658,B-BEE,,Bakalářský,prezenční,20. 12. 2021 19:16,20.12.2021,750,750,ano,03.01.2022,03. 01. 2022 20:07:22,17. 12. 2021 18:06:11,ano,20. 12. 2021 19:16:52,ano,03. 01. 2022 20:07:22,ano,20. 12. 2021 19:16:52,Skopje,Republika Severní Makedonie
54193,N-ENVA,,Magisterský navazující,prezenční,29. 11. 2021 09:38,,750,0,ne,,,,ne,,ne,,ano,29. 11. 2021 09:38:08,,
52552,N-EGS,,Magisterský navazující,prezenční,04. 10. 2021 19:16,04.10.2021,750,500,ano,04.10.2021,04. 10. 2021 19:52:16,04. 10. 2021 19:37:11,ano,04. 10. 2021 19:48:52,ano,04. 10. 2021 19:52:16,ano,04. 10. 2021 19:24:23,Lime tree garden,Jamajka
55718,N-LPA,,Magisterský navazující,prezenční,21. 12. 2021 14:43,28.12.2021,750,0,ne,,,21. 12. 2021 15:20:42,ano,21. 12. 2021 15:18:41,ne,,ano,21. 12. 2021 14:44:02,Tabriz,Íránská islámská republika
55491,B-BEE,,Bakalářský,prezenční,18. 12. 2021 07:52,18.12.2021,750,750,ano,28.12.2021,28. 12. 2021 20:01:59,18. 12. 2021 08:08:14,ano,18. 12. 2021 08:09:55,ano,28. 12. 2021 20:01:59,ano,18. 12. 2021 07:53:36,Mahalapye,Botswanská republika
52553,B-BEE,,Bakalářský,prezenční,04. 10. 2021 21:21,,750,0,ne,,,,ne,,ne,,ano,04. 10. 2021 21:22:31,,
53035,B-BEE,,Bakalářský,prezenční,04. 11. 2021 20:29,18.11.2021,750,750,ano,20.11.2021,20. 11. 2021 00:58:58,04. 11. 2021 20:59:24,ano,04. 11. 2021 20:57:26,ano,20. 11. 2021 00:58:59,ano,04. 11. 2021 20:29:52,"San Pedro Tecamac, Cholula, Puebla.",Spojené státy mexické
54803,N-EGS,,Magisterský navazující,prezenční,07. 12. 2021 21:35,07.12.2021,750,0,ne,,,07. 12. 2021 21:49:53,ano,07. 12. 2021 21:48:12,ne,,ano,07. 12. 2021 21:37:45,Kazan,Ruská federace
53823,B-BEE,,Bakalářský,prezenční,22. 11. 2021 18:48,,750,0,ne,,,28. 11. 2021 19:26:10,ano,,ne,,ano,22. 11. 2021 18:49:01,Brno,Česká republika
53824,B-BEDS,,Bakalářský,prezenční,22. 11. 2021 18:50,,750,0,ne,,,28. 11. 2021 19:26:10,ano,,ne,,ano,22. 11. 2021 18:50:06,Brno,Česká republika
56616,B-BEDS,,Bakalářský,prezenční,04. 01. 2022 10:19,04.01.2022,750,750,ano,04.01.2022,04. 01. 2022 10:58:39,04. 01. 2022 10:35:21,ano,04. 01. 2022 10:33:22,ano,04. 01. 2022 10:58:39,ano,04. 01. 2022 10:19:56,Shchelkovo,Ruská federace
52514,B-BEDS,,Bakalářský,prezenční,02. 10. 2021 22:46,13.10.2021,750,750,ano,15.10.2021,15. 10. 2021 16:58:05,02. 10. 2021 23:11:34,ano,08. 10. 2021 23:21:37,ano,15. 10. 2021 16:58:06,ano,02. 10. 2021 22:54:24,Abuja,Ostatní
52682,B-BEE,,Bakalářský,prezenční,12. 10. 2021 01:02,13.10.2021,750,0,ne,,,02. 10. 2021 23:11:34,ano,12. 10. 2021 01:02:11,ne,,ano,12. 10. 2021 01:02:12,Abuja,Ostatní
52790,N-LPA,,Magisterský navazující,prezenční,20. 10. 2021 16:56,,750,0,ne,,,,ne,,ne,,ano,23. 10. 2021 11:46:33,,
53447,N-EGS,,Magisterský navazující,prezenční,17. 11. 2021 00:10,,750,0,ne,,,17. 11. 2021 00:29:30,ano,17. 11. 2021 00:26:47,ne,,ano,17. 11. 2021 00:13:12,Mim-Ahafo,Ghanská republika
52833,N-LPA,,Magisterský navazující,prezenční,22. 10. 2021 19:27,,750,0,ne,,,,ne,,ne,,ne,,,
52542,B-BEE,,Bakalářský,prezenční,04. 10. 2021 09:42,,750,0,ne,,,04. 10. 2021 10:40:46,ano,04. 10. 2021 10:38:01,ne,,ano,04. 10. 2021 09:43:39,Addis Ababa,Etiopská federativní demokratická republika
56545,B-BEDS,,Bakalářský,prezenční,03. 01. 2022 20:27,04.01.2022,750,0,ne,,,03. 01. 2022 20:39:40,ano,03. 01. 2022 20:38:14,ne,,ano,03. 01. 2022 20:28:15,Mořina,Česká republika
53054,N-EGS,,Magisterský navazující,prezenční,05. 11. 2021 16:59,,750,0,ne,,,05. 11. 2021 17:13:19,ano,,ne,,ano,05. 11. 2021 17:00:26,West Leisenring,Spojené státy americké
53003,N-EGS,,Magisterský navazující,prezenční,03. 11. 2021 09:12,,750,0,ne,,,,ne,,ne,,ano,03. 11. 2021 09:13:50,,
52943,B-BEE,,Bakalářský,prezenční,31. 10. 2021 12:06,31.10.2021,750,0,ne,,,31. 10. 2021 12:38:10,ano,31. 10. 2021 12:27:15,ne,,ano,31. 10. 2021 12:10:13,Maharashtra,Indická republika
52538,N-ENVA,,Magisterský navazující,prezenční,04. 10. 2021 04:30,,750,0,ne,,,,ne,04. 10. 2021 06:00:09,ne,,ano,04. 10. 2021 04:31:35,,
52761,B-BEE,,Bakalářský,prezenční,18. 10. 2021 03:16,18.10.2021,750,0,ne,,,18. 10. 2021 03:29:55,ano,18. 10. 2021 03:26:28,ne,,ano,18. 10. 2021 03:18:33,Cumilla,Ostatní
52668,N-NCO,,Magisterský navazující,prezenční,11. 10. 2021 10:39,11.10.2021,750,750,ano,11.10.2021,11. 10. 2021 11:28:35,11. 10. 2021 11:07:56,ano,11. 10. 2021 11:03:39,ano,11. 10. 2021 11:28:35,ano,11. 10. 2021 10:41:14,KIRIBATHGODA,Ostatní
52655,N-ENVA,,Magisterský navazující,prezenční,10. 10. 2021 10:51,10.10.2021,750,0,ne,,,29. 11. 2019 11:11:50,ano,10. 10. 2021 10:51:18,ne,,ano,10. 10. 2021 10:51:20,Praha,Česká republika
52656,B-BEDS,,Bakalářský,prezenční,10. 10. 2021 11:10,10.10.2021,750,0,ne,,,10. 10. 2021 11:19:03,ano,10. 10. 2021 11:17:33,ne,,ano,10. 10. 2021 11:11:46,hossana,Etiopská federativní demokratická republika
53471,N-NCO,,Magisterský navazující,prezenční,17. 11. 2021 12:08,25.12.2021,750,750,ano,26.12.2021,26. 12. 2021 20:14:53,17. 11. 2021 10:12:38,ano,17. 11. 2021 12:08:14,ano,26. 12. 2021 20:14:53,ano,17. 11. 2021 12:08:15,NYARUGENGE- KIYOVU,Rwandská republika
56376,N-NCO,,Magisterský navazující,prezenční,02. 01. 2022 15:29,02.01.2022,750,750,ano,02.01.2022,02. 01. 2022 19:57:20,02. 01. 2022 15:41:02,ano,02. 01. 2022 15:39:58,ano,02. 01. 2022 19:57:21,ano,02. 01. 2022 15:32:27,Drayton St Leonard,Spojené království Velké Británie a Severního Irska
52795,N-EGS,,Magisterský navazující,prezenční,20. 10. 2021 21:34,,750,0,ne,,,,ne,,ne,,ne,,,
52702,N-LPA,,Magisterský navazující,prezenční,13. 10. 2021 06:21,24.10.2021,750,0,ne,,,24. 10. 2021 07:34:57,ano,13. 10. 2021 07:59:42,ne,,ano,13. 10. 2021 07:44:31,Chittagong,Bangladéšská lidová republika
52544,B-BEE,,Bakalářský,prezenční,04. 10. 2021 10:04,,750,0,ne,,,,ne,,ne,,ano,04. 10. 2021 10:07:47,,
54452,B-BEE,,Bakalářský,prezenční,02. 12. 2021 15:57,02.12.2021,750,0,ne,,,02. 12. 2021 16:23:05,ano,02. 12. 2021 16:18:08,ne,,ano,02. 12. 2021 16:05:24,Calcinato,Italská republika
55020,B-BEE,,Bakalářský,prezenční,11. 12. 2021 17:53,11.12.2021,750,750,ano,11.12.2021,11. 12. 2021 18:11:43,11. 12. 2021 18:04:58,ano,11. 12. 2021 18:04:00,ano,11. 12. 2021 18:11:43,ano,11. 12. 2021 17:57:02,"Holly Springs, North Carolina",Spojené státy americké
55755,B-BEE,,Bakalářský,prezenční,22. 12. 2021 10:54,,750,0,ne,,,,ne,,ne,,ne,,,
52895,N-NCO,,Magisterský navazující,prezenční,27. 10. 2021 13:26,,750,0,ne,,,,ne,,ne,,ano,27. 10. 2021 13:30:16,,
52935,B-BEE,,Bakalářský,prezenční,30. 10. 2021 07:52,,750,0,ne,,,30. 10. 2021 08:17:13,ano,30. 10. 2021 08:00:50,ne,,ano,30. 10. 2021 07:53:54,Amakom-Kumasi,Ghanská republika
53221,B-BEDS,,Bakalářský,prezenční,12. 11. 2021 16:26,,750,0,ne,,,30. 11. 2020 09:46:45,ano,12. 11. 2021 16:26:17,ne,,ano,12. 11. 2021 16:26:17,"Lubge, Abuja, Nigeria",Nigérijská federativní republika
54740,N-ENVA,,Magisterský navazující,prezenční,07. 12. 2021 08:15,07.12.2021,750,750,ano,07.12.2021,07. 12. 2021 10:07:28,23. 06. 2021 07:09:56,ano,07. 12. 2021 08:15:17,ano,07. 12. 2021 10:07:28,ano,07. 12. 2021 08:15:17,Alimosho,Nigérijská federativní republika
55416,N-LPA,,Magisterský navazující,prezenční,16. 12. 2021 21:04,16.12.2021,750,0,ne,,,16. 12. 2021 21:25:45,ano,16. 12. 2021 21:19:37,ne,,ano,16. 12. 2021 21:06:31,Bloemfontein,Jihoafrická republika
54104,B-BEDS,,Bakalářský,prezenční,27. 11. 2021 17:18,,750,0,ne,,,,ne,,ne,,ano,27. 11. 2021 17:20:18,,
55914,N-ENVA,,Magisterský navazující,prezenční,25. 12. 2021 19:01,,750,0,ne,,,27. 12. 2021 09:30:45,ano,27. 12. 2021 09:08:48,ne,,ano,25. 12. 2021 19:02:17,Port harcourt,Nigérijská federativní republika
53562,B-BEDS,,Bakalářský,prezenční,19. 11. 2021 08:03,,750,0,ne,,,18. 12. 2021 11:27:42,ano,18. 12. 2021 11:30:19,ne,,ano,19. 11. 2021 08:06:55,DUBAI,Spojené arabské emiráty
